,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
anticorps&autres,Isotype control Mouse IgG1 PerCP-Cy5.5,50 ug,347202,,,bd biosciences,223.2
anticorps&autres,Isotype mouse IgG1 Alexa647,50test,557783,,,bd biosciences,321.6
anticorps&autres,Isotype mouse IgG1 PECy7,,348788,,,bd biosciences,327.2
anticorps&autres,Ki-67 PE set,2ml,556027,,,bd biosciences,497.6
anticorps&autres,L200 CD4 PerCp-Cy5.5-conjugated mouse anti-human,1,552838,,,bd biosciences,259.2
anticorps&autres,LTBR-PE,,551503,,,bd biosciences,438.4
anticorps&autres,mouse,0.5mg,553062,,,bd biosciences,417.6
anticorps&autres,Mouse anti PD1 FITC,"0,1mg",557860,,,bd biosciences,316.8
anticorps&autres,"Mouse Anti-CD279 Monoclonal Antibody, PE-Cy7 ",,558016,,,bd biosciences,300
anticorps&autres,Mouse Ig G1 kappa APC,100 tests,555751,,,bd biosciences,240
anticorps&autres,Mouse Ig G1 kappa FITC,100 tests,555748,,,bd biosciences,184.8
anticorps&autres,Mouse Ig G1 kappa PE,100 tests,555749,,,bd biosciences,205.6
anticorps&autres,Mouse IGg21A,100test,555574,,,bd biosciences,188.8
anticorps&autres,MOUSE LENEAGE PANEL BIO,2ML,559971,,,bd biosciences,576
anticorps&autres,Mouse Th1/Th2 Cytokine Kit,,551287,,,bd biosciences,972.8
anticorps&autres,Pacific blue conjugated mouse anti-human CD3 (SP34-2),1,558124,,,bd biosciences,300
anticorps&autres,PE anti AKT (T308),1ml,558275,,,bd biosciences,348
anticorps&autres,PE anti CD45R-B220,0.2 mg,553090,,,bd biosciences,204.8
anticorps&autres,PE anti mouse CD117,0.2 mg,553869,,,bd biosciences,390.4
anticorps&autres,PE anti mouse I-Ab,0.1mg,553552,,,bd biosciences,239.2
anticorps&autres,PE anti mouse Ly-6A,0.2mg,553108,,,bd biosciences,390.4
anticorps&autres,PE anti-mouse CD80,1ml,553769,,,bd biosciences,458.4
anticorps&autres,PE conjugated anti human CD279 (PD-1),100 test,557946,,,bd biosciences,316.8
anticorps&autres,PE conjugated anti human PD-L2,,558066,,,bd biosciences,0
anticorps&autres,PE conjugated anti Rhe TNF alpha,,557068,,,bd biosciences,0
anticorps&autres,PE conjugated anti-human CCR7,100 tests,552176,,,bd biosciences,431.1
anticorps&autres,PE conjugated mouse anti-mouse I-Ad monoclonal antibody (clone AMS-32.1),0.1 mg,553548,,,bd biosciences,239.2
anticorps&autres,PE conjugated rat anti mouse IFN gamma,0.1 mg,554412,,,bd biosciences,376.8
anticorps&autres,PE Cy5 (CyChrome) anti-human CD3,100 tests,555334,,,bd biosciences,432.9
anticorps&autres,PE Cy7 Conjugated mouse anti human IL-4 ,"0,1 mg",557989,,,bd biosciences,428
anticorps&autres,PE labeled anti-human 4-1BB Ligand,100 test,559446,,,bd biosciences,356
anticorps&autres,PE labelled anti mouse CD24,0.1mg,553262,,,bd biosciences,162
anticorps&autres,PE mouse Anti -ERK1/2,,612566,,,bd biosciences,348
anticorps&autres,PE mouse anti -Stat5,,612567,,,bd biosciences,348
anticorps&autres,PE p38,,612565,,,bd biosciences,348
anticorps&autres,PE-conjugated anti-Notch1 antibody,0.1,552768,,,bd biosciences,280.8
anticorps&autres,PE-conjugated mouse IgG1,0.1 mg,554680,,,bd biosciences,267.2
anticorps&autres,PE-conjugated rat anti-mouse CD127 (IL-7 Receptor alpha chain) monoclonal antibody,0.2 mg,552543,,,bd biosciences,458.4
anticorps&autres,PE-Cy5 anti CD5,0.1 mg,553025,,,bd biosciences,363.2
anticorps&autres,"Pe-Cy5 anti HLA-a,b,c",100 test,555554,,,bd biosciences,384.8
anticorps&autres,PE-Cy5 congugated rat anti-mouse CD4,0.1 mg,553050,,,bd biosciences,239.2
anticorps&autres,Pe-cy5-anti mouse CD45,0.1 mg,553082,,,bd biosciences,239.2
anticorps&autres,PECy7 labeled anti-human CD4,100 tests,348789,,,bd biosciences,554.45
anticorps&autres,PerCP anti-mouse CD4 antibody,0.1 mg,553052,,,bd biosciences,417.6
anticorps&autres,pIRESneo3 ,,631621,,,bd biosciences,432.8
anticorps&autres,Purified anti mouse CD11c,1 ml /125µg,550283,,,bd biosciences,202.4
anticorps&autres,rat anti mouse CD326 (Ep-CAM),0.1 mg,552370,,,bd biosciences,123.2
anticorps&autres,Rat Anti-mouse CD25-APC-Cy7,0.1mg,557658,,,bd biosciences,227.6
anticorps&autres,Rat Anti-Mouse IgG1,,340270,,,bd biosciences,288
anticorps&autres,rat IgG2a kappa monoclonal Ig Isotype standard,0.5 mg,553927,,,bd biosciences,192
anticorps&autres,Rat IgG2a PE-Cy7 isotype control,0.1 mg,552784,,,bd biosciences,175.2
